"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CAB39L|81617",0.511808470409317,9.31111625796225,5.53587840803132,3.87723021601546e-08,4.48540146989903e-06,8.3181385833914
"KIF15|56992",-0.731871854876755,7.15651518149533,-5.52881498329864,4.03216082691775e-08,4.5920115223401e-06,8.28128972827138
"EXO1|9156",-0.850450956662777,7.24346949577885,-5.52763325142091,4.05866148819114e-08,4.5920115223401e-06,8.27512914140639
"NUF2|83540",-0.856371947651969,7.55974096543781,-5.52756870068438,4.060113917011e-08,4.5920115223401e-06,8.27479266227839
"KIF18B|146909",-0.858342951895789,6.99452186135646,-5.52647695294782,4.08475545739018e-08,4.59421523527023e-06,8.26910234669953
"C16orf59|80178",-0.663608139348077,6.61486284025285,-5.51572989947018,4.33520510055353e-08,4.79596870277083e-06,8.21314408953096
"TROAP|10024",-0.856844676172033,7.26854700980797,-5.5104352075135,4.4640127309783e-08,4.88814842398122e-06,8.18561325233458
"RHOXF1|158800",0.567571376738085,1.19181180659691,5.50844438960251,4.5133995454752e-08,4.88814842398122e-06,8.1752680440975
"DSC1|1823",0.867345855948011,2.4311697935608,5.5080277577024,4.52380197126853e-08,4.88814842398122e-06,8.17310347918145
"DMGDH|29958",0.752823737306443,4.16267687492598,5.50799072210263,4.52472779825242e-08,4.88814842398122e-06,8.1729110723046
"MYOC|4653",1.16976685595324,1.76950973789453,5.50721199272775,4.54423735785321e-08,4.88814842398122e-06,8.16886571024236
"NDC80|10403",-0.78496604401863,7.50964324676334,-5.50645031825083,4.56339862747568e-08,4.88814842398122e-06,8.16490946784996
"IBSP|3381",-1.14643987674633,4.0386042831658,-5.49820504096857,4.77590842691766e-08,5.08885611068147e-06,8.12211543349651
"PSD2|84249",0.713104524223202,2.84225948914393,5.49389518632212,4.89078017491483e-08,5.15697107505993e-06,8.09977084335457
"DLGAP2|9228",0.626350223701327,1.8544241568813,5.48708896636096,5.07766990740669e-08,5.32629156867609e-06,8.06451746733884
"TMEM195|392636",0.747015433045234,1.8716190812986,5.48297395307991,5.19400547897996e-08,5.42023922278089e-06,8.04322344225024
