"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYVE1|10894",1.71485719704694,5.67448522906757,6.9786259379601,6.64553098521962e-12,1.94704977626471e-09,16.5716920139913
"LEPR|3953",1.1510461166814,7.76628690028912,6.9766845756044,6.73220470923832e-12,1.94704977626471e-09,16.5592741753034
"CCNE2|9134",-1.04206766229091,7.6260692287105,-6.96544437669154,7.25628960264932e-12,2.04480446711528e-09,16.4874360516206
"CCNB2|9133",-1.12792270088378,8.21612111504396,-6.96511551261966,7.27221149085209e-12,2.04480446711528e-09,16.4853357459321
"KIF18B|146909",-1.26368399413879,6.8998516433561,-6.95794329550581,7.62811124820909e-12,2.05879785101151e-09,16.4395515980799
"TROAP|10024",-1.25378309679295,7.11862252913029,-6.95755109925162,7.64805839519259e-12,2.05879785101151e-09,16.4370491854476
"CRHR2|1395",0.6027937829543,0.682146282478237,6.95607204053344,7.72374531571531e-12,2.05879785101151e-09,16.4276131435874
"SGOL1|151648",-1.13507810310936,5.94128372583778,-6.95359046665333,7.85238866094366e-12,2.06456634338707e-09,16.4117852327132
"DLGAP2|9228",0.980790184216716,1.78016791811282,6.95016764425601,8.03328372996529e-12,2.0850490911942e-09,16.3899619744568
"SPAG5|10615",-0.964965775988495,9.03981676842526,-6.94757240128859,8.17316279864385e-12,2.09450228934867e-09,16.3734214643383
"PTTG1|9232",-1.04986230000815,8.05139387382508,-6.93025688144953,9.16960041682846e-12,2.32048200548365e-09,16.263201067126
"WDR62|284403",-1.05733954952235,7.13262196952166,-6.92201577635043,9.68482081908267e-12,2.42060737632504e-09,16.2108275554056
"LMNB1|4001",-0.874078504997806,9.89189907738565,-6.91929993124455,9.86075718053977e-12,2.43452474536619e-09,16.1935798813824
"IQGAP3|128239",-1.2940031754954,8.6671064139925,-6.91021650253956,1.04722959647761e-11,2.52475281841565e-09,16.1359362710404
"KIF11|3832",-0.878865721549601,9.26333713029261,-6.90874221618581,1.05750026315233e-11,2.52475281841565e-09,16.1265866746409
"CENPF|1063",-1.09093313427429,10.624712073351,-6.90838060176405,1.06003452489667e-11,2.52475281841565e-09,16.1242936630927
"ZWINT|11130",-0.875482385900962,9.18393800277148,-6.90411546304515,1.09037898672025e-11,2.54473711771622e-09,16.0972561772849
"SKA3|221150",-1.07466563730376,7.03459066531577,-6.90229143686538,1.10361488351069e-11,2.54473711771622e-09,16.0856978091172
"FAM83D|81610",-1.13788907265165,7.82216261037037,-6.89876419010354,1.12965894820977e-11,2.56965678724795e-09,16.0633541728433
"KIF15|56992",-1.04529047491145,7.26567516131841,-6.89199984805486,1.18130348552453e-11,2.65435260541335e-09,16.020532878206
"RAD54L|8438",-1.06967507752093,6.65864353452508,-6.89049364116716,1.19311477941524e-11,2.65435260541335e-09,16.011002928072
"CSRNP1|64651",0.724404811929073,9.56199632075879,6.88318231245213,1.252115491006e-11,2.75533457776266e-09,15.9647692146901
"CLEC4G|339390",1.16008906145041,1.23899635251687,6.87884728708528,1.28844063553107e-11,2.80478286734693e-09,15.9373766839355
"RHOXF1|158800",0.880348466164875,1.05539966339877,6.87188531966714,1.34895344189304e-11,2.9052725990558e-09,15.8934164626681
"CDKN3|1033",-1.02221846015144,6.8946322134029,-6.86869816096926,1.37757841271727e-11,2.93044254649872e-09,15.8733046859998
"NR4A1|3164",1.16186515864375,9.8871781848688,6.86738009042253,1.38958994548717e-11,2.93044254649872e-09,15.8649897191374
"PPP1R15A|23645",0.629026490031257,9.95046487808926,6.8520624280224,1.53694420703511e-11,3.2077768527243e-09,15.7684618438474
"KCNIP2|30819",1.87110409471131,5.45224375961168,6.84456367781142,1.61456814271522e-11,3.33540122951732e-09,15.7212756511804
"ANLN|54443",-1.15055708036239,9.11114246079108,-6.82944327706467,1.78296835169432e-11,3.60961942800515e-09,15.6262678501017
"MRAP|56246",2.08656357313702,2.22398061229257,6.82732440207489,1.80790327665377e-11,3.62386156790648e-09,15.6129688116793
"C7orf41|222166",0.956252319639132,9.80674328342559,6.82435466590562,1.84342785123533e-11,3.6588428282607e-09,15.5943354753955
"KIFC1|3833",-1.03142697962753,8.68114548300845,-6.82186314081888,1.87375958302824e-11,3.68293813188415e-09,15.5787081238505
"KIAA0101|9768",-1.18567361559084,7.72853366498399,-6.81465764793867,1.96426145536398e-11,3.82369934267728e-09,15.5335420236125
"KLF11|8462",0.529981549959052,9.2319735260946,6.81110912574948,2.01039383323081e-11,3.87623077654835e-09,15.5113142802907
"CDCA5|113130",-0.976613697310909,8.45460105680979,-6.78721384693401,2.34993424933814e-11,4.48815272432554e-09,15.3619006454352
"ANGPT4|51378",1.00345888480692,1.33187936785067,6.77328616116402,2.57315752726936e-11,4.86855833080077e-09,15.2750259682268
